date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations
2021-02-13,Arizona,1041021,1393475,811080,226158,39176
2021-02-14,Arizona,1089155,1393575,840252,244971,39989
2021-02-15,Arizona,,,,,40122
2021-02-16,Arizona,1154583,1396475,886107,264416,41539
2021-02-17,Arizona,1164900,1396475,892791,267967,38163
2021-02-18,Arizona,1202770,1396475,914468,283955,37314
2021-02-19,Arizona,1376405,1679175,1036237,335248,55158
2021-02-20,Arizona,1425295,1688255,1064109,356055,54896
2021-02-21,Arizona,1469676,1688255,1087921,376371,54360
2021-02-22,Arizona,1506572,1688255,1108935,392139,54958
2021-02-23,Arizona,1525794,1755635,1121773,398472,53030
2021-02-24,Arizona,1555942,1977925,1137371,412825,55863
2021-02-25,Arizona,1607544,2064265,1163157,438355,57825
2021-02-26,Arizona,1671294,2143135,1196045,468913,42127
2021-02-27,Arizona,1728239,2148015,1223520,498106,43278
2021-02-28,Arizona,1792447,2148015,1250251,535189,46110
2021-03-01,Arizona,1849259,2148015,1275068,566500,48955
2021-03-02,Arizona,1889742,2244885,1293835,587451,51993
2021-03-03,Arizona,1930999,2392275,1308334,613681,53580
2021-03-04,Arizona,1979929,2453985,1329996,640078,53198
2021-03-05,Arizona,2038623,2598435,1356443,671617,52476
2021-03-06,Arizona,2043739,2623735,1358649,674523,45071
2021-03-07,Arizona,2162602,2623735,1421436,729803,52879
2021-01-12,Arkansas,40879,274400,39357,8,
2021-01-13,Arkansas,94854,297800,80458,12849,53975
2021-01-14,Arkansas,108316,297800,90339,,33718
2021-01-15,Arkansas,118338,297800,97829,18781,25820
2021-01-16,Arkansas,,,,,20865
2021-01-17,Arkansas,,,,,17892
2021-01-18,Arkansas,,,,,15910
2021-01-19,Arkansas,142337,297800,118763,21734,14494
2021-01-20,Arkansas,173312,334825,144792,26541,11208
2021-01-21,Arkansas,173312,361550,144792,26541,9285
2021-01-22,Arkansas,201676,362050,167788,31600,11905
2021-01-23,Arkansas,201676,368650,167788,31600,11048
2021-01-24,Arkansas,214240,368650,179290,32572,11986
2021-01-25,Arkansas,221095,368650,185546,33159,12108
2021-01-26,Arkansas,236290,394775,196815,37055,13422
2021-01-27,Arkansas,252824,406175,209445,40910,11359
2021-01-28,Arkansas,252824,453300,209445,40910,11359
2021-01-29,Arkansas,269993,453500,221552,45918,9760
2021-01-30,Arkansas,288651,453700,233935,52118,12425
2021-01-31,Arkansas,303793,453700,244867,56264,12793
2021-02-01,Arkansas,311230,453700,249943,58613,12876
2021-02-02,Arkansas,314470,467800,251841,59903,11169
2021-02-03,Arkansas,322447,499325,256307,63356,9946
2021-02-04,Arkansas,338227,516925,266563,68778,12200
2021-02-05,Arkansas,351175,535550,274459,73810,11597
2021-02-06,Arkansas,374674,540050,290153,81564,12289
2021-02-07,Arkansas,393445,540050,300139,90308,12807
2021-02-08,Arkansas,401664,540050,304604,94058,12919
2021-02-09,Arkansas,404127,580775,305917,95202,12808
2021-02-10,Arkansas,418054,581875,311339,103669,13658
2021-02-11,Arkansas,430803,593775,316972,110751,13225
2021-02-12,Arkansas,447146,629900,325562,118465,13710
2021-02-13,Arkansas,457386,630700,330146,124040,11816
2021-02-14,Arkansas,472536,630700,338611,130637,11299
2021-02-15,Arkansas,,,,,10903
2021-02-16,Arkansas,483438,631675,343637,136415,11330
2021-02-17,Arkansas,486949,649225,345271,138254,9842
2021-02-18,Arkansas,490737,664225,346623,140662,8562
2021-02-19,Arkansas,517271,691525,362972,150812,10018
2021-02-20,Arkansas,520904,691525,364735,152675,9074
2021-02-21,Arkansas,528467,691525,367436,157511,7990
2021-02-22,Arkansas,535413,691525,370403,161470,8204
2021-02-23,Arkansas,540192,794230,372786,163848,8108
2021-02-24,Arkansas,554466,816730,378225,172653,9645
2021-02-25,Arkansas,572553,826130,384549,184346,11688
2021-02-26,Arkansas,597990,861230,394007,200253,11531
2021-02-27,Arkansas,622665,892660,404883,213974,14537
2021-02-28,Arkansas,649311,892660,418453,226968,17263
2021-03-01,Arkansas,661572,892660,424534,233135,18023
2021-03-02,Arkansas,670815,963040,430748,236154,18660
2021-03-03,Arkansas,687433,964840,441126,242346,18995
2021-03-04,Arkansas,704368,990640,451127,249244,18831
2021-03-05,Arkansas,723756,1064920,463108,256589,17967
2021-03-06,Arkansas,744139,1088150,475550,264478,17353
2021-03-07,Arkansas,765260,1088150,487494,273608,16564
2021-01-12,California,816301,3286050,703540,100089,
2021-01-13,California,891489,3435650,744545,133689,75188
2021-01-14,California,975293,3540175,801998,,79496
2021-01-15,California,1072959,3548575,865387,204374,85553
2021-01-16,California,,,,,88381
2021-01-17,California,,,,,90079
2021-01-18,California,,,,,91210
2021-01-19,California,1460430,3548575,1195969,260838,92018
2021-01-20,California,1532329,4169450,1255311,273276,91549
2021-01-21,California,1633875,4379500,1335886,293834,94083
2021-01-22,California,1803679,4714625,1477195,321839,104389
2021-01-23,California,2008220,4906525,1661683,341731,119770
2021-01-24,California,2199908,4906525,1838464,356382,133316
2021-01-25,California,2330633,4906525,1954048,371482,138153
2021-01-26,California,2446577,5340275,2053652,387563,140878
2021-01-27,California,2579666,5452575,2156029,417606,149620
2021-01-28,California,2746876,5547100,2281453,458585,159000
2021-01-29,California,2910562,5640225,2415659,487552,158126
2021-01-30,California,3095781,5666150,2563559,524350,155366
2021-01-31,California,3285351,5666550,2717530,558977,155063
2021-02-01,California,3453284,5666550,2861767,581985,160379
2021-02-02,California,3543817,5670500,2940488,592045,156749
2021-02-03,California,3671316,6343925,3044980,613845,155950
2021-02-04,California,3723803,6438225,3085932,625189,139561
2021-02-05,California,3920632,6773350,3228084,675027,144296
2021-02-06,California,4137600,6963500,3389906,727993,148831
2021-02-07,California,4485166,6963500,3653538,808832,171402
2021-02-08,California,4682862,6963500,3811715,847993,175654
2021-02-09,California,4784478,7385225,3880253,875340,177237
2021-02-10,California,4957297,7607100,3994969,928615,183712
2021-02-11,California,5134864,7822300,4108216,990128,201580
2021-02-12,California,5341104,7963575,4222810,1081040,202925
2021-02-13,California,5562553,8051475,4345018,1178577,203565
2021-02-14,California,5820388,8059325,4493220,1287390,190746
2021-02-15,California,,,,,190404
2021-02-16,California,6210992,8250650,4708607,1456222,203788
2021-02-17,California,6323011,8406525,4766592,1507829,195102
2021-02-18,California,6496140,8722400,4865151,1581541,194468
2021-02-19,California,6964603,9164130,5159868,1753917,231928
2021-02-20,California,7201713,9178020,5285256,1864867,234166
2021-02-21,California,7453468,9178020,5426591,1974488,233297
2021-02-22,California,7604725,9178020,5503523,2048326,227005
2021-02-23,California,7728120,10168620,5569473,2105613,216733
2021-02-24,California,7876011,10702330,5649200,2173394,221857
2021-02-25,California,8064121,10956910,5746607,2263406,223997
2021-02-26,California,8310945,11297300,5871818,2384283,192335
2021-02-27,California,8566470,11587650,6004784,2506318,194965
2021-02-28,California,8821044,11587650,6151911,2613260,195368
2021-03-01,California,9106077,11587650,6304718,2744770,214479
2021-03-02,California,9497125,12528070,6531816,2905711,252715
2021-03-03,California,9731169,12776090,6672891,2997721,265023
2021-03-04,California,9860209,13233190,6751368,3047327,256584
2021-03-05,California,10071476,13609110,6880222,3128908,251504
2021-03-06,California,10415023,13885120,7087399,3263993,264079
2021-03-07,California,10634752,13885120,7218393,3352223,259101
2021-01-12,Colorado,224428,516750,187838,36425,
2021-01-13,Colorado,239665,530800,198227,41271,15237
2021-01-14,Colorado,254706,531775,209300,,15139
2021-01-15,Colorado,272233,531775,223761,47021,15935
2021-01-16,Colorado,,,,,15580
2021-01-17,Colorado,,,,,15367
2021-01-18,Colorado,,,,,15225
2021-01-19,Colorado,330292,531775,278639,49897,15123
2021-01-20,Colorado,340438,631400,287174,51460,14396
2021-01-21,Colorado,353194,657250,296816,54474,14070
2021-01-22,Colorado,377283,671200,313217,62086,15007
2021-01-23,Colorado,377283,692700,313211,62086,12934
2021-01-24,Colorado,434496,692700,355124,76902,19033
2021-01-25,Colorado,447880,692700,364889,80467,18872
2021-01-26,Colorado,457746,726450,372266,82946,18208
2021-01-27,Colorado,474527,775050,381679,90200,19156
2021-01-28,Colorado,495706,806950,394156,98663,20359
2021-01-29,Colorado,521879,813400,409939,108507,20657
2021-01-30,Colorado,545356,813400,423054,118770,24010
2021-01-31,Colorado,569234,813400,440576,125078,19248
2021-02-01,Colorado,589787,813400,455422,130738,20272
2021-02-02,Colorado,601347,871875,464938,132752,20514
2021-02-03,Colorado,617125,940800,472820,140610,20371
2021-02-04,Colorado,638923,983225,485332,149829,20460
2021-02-05,Colorado,661703,989075,495381,162511,19975
2021-02-06,Colorado,694860,991075,512024,178975,21358
2021-02-07,Colorado,729895,991075,528379,197523,22952
2021-02-08,Colorado,751960,991075,539961,207951,23168
2021-02-09,Colorado,757560,1045000,542165,211328,22316
2021-02-10,Colorado,787041,1110575,557204,225626,24274
2021-02-11,Colorado,815108,1162775,570979,239804,25169
2021-02-12,Colorado,844620,1204800,586187,254037,26131
2021-02-13,Colorado,885581,1210475,609445,271661,27246
2021-02-14,Colorado,926807,1210475,631243,290991,28130
2021-02-15,Colorado,,,,,30249
2021-02-16,Colorado,1000597,1224575,686889,308992,34720
2021-02-17,Colorado,1024167,1230425,704742,314557,33875
2021-02-18,Colorado,1053041,1282300,724699,322769,33990
2021-02-19,Colorado,1132448,1332775,780757,345623,41118
2021-02-20,Colorado,1167895,1348800,800799,360392,40331
2021-02-21,Colorado,1202161,1348800,817009,378242,39336
2021-02-22,Colorado,1231699,1348800,831826,392925,38285
2021-02-23,Colorado,1233466,1417245,832798,393719,33267
2021-02-24,Colorado,1268302,1512970,847375,413803,34876
2021-02-25,Colorado,1294236,1597960,860120,426938,34456
2021-02-26,Colorado,1323183,1658660,876277,439634,27248
2021-02-27,Colorado,1324715,1700660,876943,440500,22403
2021-02-28,Colorado,1371577,1700660,901520,462155,24202
2021-03-01,Colorado,1412910,1700660,925066,479662,25887
2021-03-02,Colorado,1428854,1747350,935733,484907,27913
2021-03-03,Colorado,1462053,1847780,954209,499066,27679
2021-03-04,Colorado,1494910,1933440,972301,513187,28668
2021-03-05,Colorado,1528864,2008930,992266,526306,29383
2021-03-06,Colorado,1580162,2019460,1019833,549267,36492
2021-03-07,Colorado,1626499,2019460,1047214,567689,36417
2021-01-12,Connecticut,151395,250775,56350,4174,
2021-01-13,Connecticut,161875,315025,58920,5268,10480
2021-01-14,Connecticut,171897,328675,156366,,10251
2021-01-15,Connecticut,185866,328775,166722,17162,11490
2021-01-16,Connecticut,,,,,11346
2021-01-17,Connecticut,,,,,11260
2021-01-18,Connecticut,,,,,11202
2021-01-19,Connecticut,229524,328775,201664,23150,11161
2021-01-20,Connecticut,243140,430375,213145,25018,11609
2021-01-21,Connecticut,264707,435075,230913,28602,13259
2021-01-22,Connecticut,287440,477250,248753,33149,14511
2021-01-23,Connecticut,306796,492850,264042,37098,15716
2021-01-24,Connecticut,321737,492850,275126,40506,16292
2021-01-25,Connecticut,331264,492850,282674,42421,16094
2021-01-26,Connecticut,342643,515675,291257,45190,16160
2021-01-27,Connecticut,360991,543975,302710,51939,16836
2021-01-28,Connecticut,381160,571775,315317,59437,16636
2021-01-29,Connecticut,403370,577625,329149,67624,16561
2021-01-30,Connecticut,421191,578600,340886,73706,16342
2021-01-31,Connecticut,436842,578600,349879,79511,16444
2021-02-01,Connecticut,449253,578600,357588,83855,16856
2021-02-02,Connecticut,456090,574650,361495,86602,16207
2021-02-03,Connecticut,465008,608600,365975,90574,14860
2021-02-04,Connecticut,481826,666175,375795,97568,14381
2021-02-05,Connecticut,502347,668125,387627,106224,14140
2021-02-06,Connecticut,519400,740300,395554,115349,14030
2021-02-07,Connecticut,533941,740300,402227,123198,13871
2021-02-08,Connecticut,542414,740300,406697,127194,13309
2021-02-09,Connecticut,554322,800225,412601,133196,14033
2021-02-10,Connecticut,574750,801325,423296,142918,15677
2021-02-11,Connecticut,600249,812325,437058,154639,16918
2021-02-12,Connecticut,626678,814525,450204,167894,17762
2021-02-13,Connecticut,654766,847200,462710,183146,19338
2021-02-14,Connecticut,674704,854725,473106,191978,20109
2021-02-15,Connecticut,,,,,21501
2021-02-16,Connecticut,711142,914075,494373,206920,22403
2021-02-17,Connecticut,738191,916075,509165,218777,23349
2021-02-18,Connecticut,767183,922075,525133,231795,23848
2021-02-19,Connecticut,822615,958925,558539,253770,27991
2021-02-20,Connecticut,847820,984275,572145,265343,27579
2021-02-21,Connecticut,860534,984275,579380,270792,26547
2021-02-22,Connecticut,882777,984275,595390,277009,27122
2021-02-23,Connecticut,892882,1025755,602697,279804,25963
2021-02-24,Connecticut,912033,1099225,618330,283211,24835
2021-02-25,Connecticut,925946,1113035,629625,285804,22680
2021-02-26,Connecticut,954153,1190995,652910,290698,18791
2021-02-27,Connecticut,980211,1198495,674181,295458,18913
2021-02-28,Connecticut,1004467,1198495,693595,300264,20562
2021-03-01,Connecticut,1031305,1198495,715456,305226,21218
2021-03-02,Connecticut,1040154,1281935,722628,306894,21039
2021-03-03,Connecticut,1061375,1309225,740054,310667,21335
2021-03-04,Connecticut,1087313,1345595,763026,313603,23052
2021-03-05,Connecticut,1121517,1421045,793790,316991,23909
2021-03-06,Connecticut,1157114,1434565,826089,320257,25272
2021-03-07,Connecticut,1195617,1434565,860174,324448,27307
2021-01-12,Delaware,26410,88325,15911,2784,
2021-01-13,Delaware,28413,91250,16647,4050,2003
2021-01-14,Delaware,31090,91250,25649,,2340
2021-01-15,Delaware,31090,91250,25649,5354,1560
2021-01-16,Delaware,,,,,1887
2021-01-17,Delaware,,,,,2083
2021-01-18,Delaware,,,,,2213
2021-01-19,Delaware,42557,91250,35679,6768,2307
2021-01-20,Delaware,45640,100375,38610,6919,2461
2021-01-21,Delaware,49369,106600,41900,7355,2611
2021-01-22,Delaware,54257,116325,45292,8847,3310
2021-01-23,Delaware,60023,116325,49442,10448,3724
2021-01-24,Delaware,64186,116325,52586,11464,3909
2021-01-25,Delaware,66914,116325,55131,11647,3889
2021-01-26,Delaware,68507,129250,56646,11724,3707
2021-01-27,Delaware,77449,140850,64952,12352,4544
2021-01-28,Delaware,82289,141825,68959,13121,4703
2021-01-29,Delaware,87300,143775,72684,14210,4720
2021-01-30,Delaware,92509,143775,76980,14956,4641
2021-01-31,Delaware,99954,143775,82970,16397,5110
2021-02-01,Delaware,102697,143775,84482,17628,5112
2021-02-02,Delaware,103770,143775,85143,18040,5038
2021-02-03,Delaware,107544,154700,88325,18568,4299
2021-02-04,Delaware,110784,161525,89727,20394,4071
2021-02-05,Delaware,114226,161525,92265,21264,3847
2021-02-06,Delaware,118475,161525,94962,22791,3709
2021-02-07,Delaware,123428,161525,98450,24245,3353
2021-02-08,Delaware,126650,161525,100736,25179,3422
2021-02-09,Delaware,127523,162525,101383,25405,3393
2021-02-10,Delaware,130116,183250,103319,26054,3225
2021-02-11,Delaware,133370,182225,105760,26864,3227
2021-02-12,Delaware,136591,188075,108096,27742,3195
2021-02-13,Delaware,142103,188075,111918,29423,3375
2021-02-14,Delaware,146437,188075,114564,31095,3287
2021-02-15,Delaware,,,,,3252
2021-02-16,Delaware,152387,189050,117600,34002,3552
2021-02-17,Delaware,155111,189050,118666,35601,3571
2021-02-18,Delaware,159845,189050,121487,37499,3782
2021-02-19,Delaware,175305,204200,130818,43614,5531
2021-02-20,Delaware,180600,204200,133187,46527,5500
2021-02-21,Delaware,180940,204200,133251,46803,4929
2021-02-22,Delaware,183901,204200,134698,48311,4927
2021-02-23,Delaware,186619,247115,135175,50546,4890
2021-02-24,Delaware,189836,274055,135908,53019,4961
2021-02-25,Delaware,195534,289515,137830,56790,5098
2021-02-26,Delaware,203745,291715,140833,61985,4063
2021-02-27,Delaware,212739,291815,143880,67915,4591
2021-02-28,Delaware,219312,291815,146867,71482,5482
2021-03-01,Delaware,225374,291815,148491,75909,5925
2021-03-02,Delaware,225417,323935,148497,75946,5543
2021-03-03,Delaware,237669,327635,152876,83782,6833
2021-03-04,Delaware,246194,347965,157521,87485,7237
2021-03-05,Delaware,255036,359165,161830,92003,7327
2021-03-06,Delaware,264601,361765,166987,96374,7409
2021-03-07,Delaware,275467,361765,173404,100801,8022
2021-01-12,Florida,633440,1676300,586741,41725,
2021-01-13,Florida,705398,1680200,647330,52969,71958
2021-01-14,Florida,774485,1970875,709002,,70522
2021-01-15,Florida,853081,2069175,776430,74776,73214
2021-01-16,Florida,,,,,75010
2021-01-17,Florida,,,,,76089
2021-01-18,Florida,,,,,76807
2021-01-19,Florida,1174685,2069175,1068787,103173,77321
2021-01-20,Florida,1239975,2545050,1125338,111763,76368
2021-01-21,Florida,1239975,2546050,1125338,111763,66499
2021-01-22,Florida,1314377,2616250,1186719,124582,65899
2021-01-23,Florida,1489003,2908275,1333116,152209,79360
2021-01-24,Florida,1544794,2908275,1384479,156226,75844
2021-01-25,Florida,1544794,2908275,1384407,156298,64359
2021-01-26,Florida,1575490,3095350,1412466,158886,57258
2021-01-27,Florida,1632491,3095850,1451507,176671,56074
2021-01-28,Florida,1707251,3095850,1497903,204623,66754
2021-01-29,Florida,1796246,3220350,1554179,236834,68838
2021-01-30,Florida,1890198,3396350,1610425,274211,57314
2021-01-31,Florida,1959626,3396350,1656005,297584,59262
2021-02-01,Florida,2005378,3396350,1683674,315392,65798
2021-02-02,Florida,2048143,3657775,1712327,329176,67522
2021-02-03,Florida,2133168,3658975,1752699,373238,71525
2021-02-04,Florida,2223754,3658975,1793625,422482,73786
2021-02-05,Florida,2260744,3791925,1812723,440172,66357
2021-02-06,Florida,2385839,3791925,1865090,512064,70806
2021-02-07,Florida,2607527,3791925,1965590,629556,92557
2021-02-08,Florida,2607527,3791925,1965590,629556,86021
2021-02-09,Florida,2731300,4217275,2023419,694637,97594
2021-02-10,Florida,2835535,4258875,2064585,756678,100338
2021-02-11,Florida,2957730,4318675,2118750,823514,104854
2021-02-12,Florida,3216044,4332100,2235645,962465,136471
2021-02-13,Florida,3351430,4441375,2304435,1028266,137942
2021-02-14,Florida,3467856,4514300,2366552,1082096,122904
2021-02-15,Florida,,,,,132271
2021-02-16,Florida,3598996,4597575,2441429,1134793,123957
2021-02-17,Florida,3702569,4699950,2498089,1180757,123862
2021-02-18,Florida,3819224,4700950,2562863,1231696,123071
2021-02-19,Florida,4198451,4971575,2793123,1378573,140344
2021-02-20,Florida,4205898,5120975,2796210,1382923,122067
2021-02-21,Florida,4387051,5120975,2877011,1481148,131314
2021-02-22,Florida,4390626,5120975,2879026,1482708,122457
2021-02-23,Florida,4406005,5483265,2884231,1492758,115287
2021-02-24,Florida,4502702,5997365,2936823,1535864,114305
2021-02-25,Florida,4605201,6013185,2983316,1590721,112282
2021-02-26,Florida,4704530,6083555,3032041,1640330,72297
2021-02-27,Florida,4822353,6313255,3095704,1693485,88065
2021-02-28,Florida,5044420,6313355,3222786,1787164,93910
2021-03-01,Florida,5047960,6313355,3225973,1787511,93905
2021-03-02,Florida,5077891,6744275,3243667,1799607,95984
2021-03-03,Florida,5167346,7112075,3297947,1833883,94949
2021-03-04,Florida,5314200,7200465,3391582,1886028,101286
2021-03-05,Florida,5448653,7524815,3480937,1929985,106303
2021-03-06,Florida,5688357,7771315,3641725,2006907,123715
2021-03-07,Florida,5900450,7771315,3784364,2074589,122290
2021-01-12,Georgia,170571,960975,85110,7746,
2021-01-13,Georgia,198756,1003975,86105,8937,28185
2021-01-14,Georgia,231305,1010900,204301,,30367
2021-01-15,Georgia,231305,1011200,204301,22324,20245
2021-01-16,Georgia,,,,,20248
2021-01-17,Georgia,,,,,20250
2021-01-18,Georgia,,,,,20251
2021-01-19,Georgia,312336,1011200,278151,28907,20252
2021-01-20,Georgia,397048,1077375,356010,35029,28327
2021-01-21,Georgia,453862,1162275,407000,39972,31794
2021-01-22,Georgia,603486,1235375,533665,59925,53169
2021-01-23,Georgia,604067,1235775,534161,59965,50358
2021-01-24,Georgia,604067,1235775,534161,59965,47464
2021-01-25,Georgia,604067,1235775,534161,59965,44570
2021-01-26,Georgia,668589,1309850,591385,64989,50893
2021-01-27,Georgia,712866,1412450,622905,75360,45117
2021-01-28,Georgia,764211,1441025,659212,89305,44336
2021-01-29,Georgia,810291,1448825,693085,99941,29544
2021-01-30,Georgia,856746,1449800,729117,109311,36097
2021-01-31,Georgia,906186,1449800,766875,119878,43160
2021-02-01,Georgia,930517,1449800,785487,125548,46636
2021-02-02,Georgia,940066,1557175,790354,129885,38782
2021-02-03,Georgia,975038,1638700,813214,140900,37453
2021-02-04,Georgia,1008040,1686125,834091,152626,34833
2021-02-05,Georgia,1051622,1688075,860543,169163,34476
2021-02-06,Georgia,1098863,1688075,887597,188736,34588
2021-02-07,Georgia,1146024,1688075,912189,210237,34263
2021-02-08,Georgia,1167738,1688075,923282,219840,33889
2021-02-09,Georgia,1179950,1840775,927176,227997,34269
2021-02-10,Georgia,1223850,1914800,946505,251946,35545
2021-02-11,Georgia,1273015,2017525,967179,279546,37854
2021-02-12,Georgia,1273015,2017525,967179,279546,31628
2021-02-13,Georgia,1328795,2020275,987693,313961,32847
2021-02-14,Georgia,1437718,2020275,1027629,380394,41671
2021-02-15,Georgia,,,,,41120
2021-02-16,Georgia,1473440,2130100,1040075,402578,41927
2021-02-17,Georgia,1473440,2131775,1040075,402578,35656
2021-02-18,Georgia,1569216,2145525,1073929,462570,42314
2021-02-19,Georgia,1720789,2286360,1158554,527556,63968
2021-02-20,Georgia,1786755,2292085,1181826,568299,65423
2021-02-21,Georgia,1850856,2292085,1202374,609520,59020
2021-02-22,Georgia,1873683,2292085,1210708,623795,59729
2021-02-23,Georgia,1880429,2369305,1213224,627968,58141
2021-02-24,Georgia,1919262,2535925,1225659,653286,63689
2021-02-25,Georgia,1961849,2645625,1241431,678886,56090
2021-02-26,Georgia,2013769,2840015,1261421,710086,41854
2021-02-27,Georgia,2070076,2881145,1281193,745853,40474
2021-02-28,Georgia,2072451,2881145,1282033,747388,31656
2021-03-01,Georgia,2072628,2881145,1282199,747398,28421
2021-03-02,Georgia,2085047,3067745,1290937,750985,29231
2021-03-03,Georgia,2133517,3155155,1309558,780276,30608
2021-03-04,Georgia,2187289,3339265,1333071,810091,32206
2021-03-05,Georgia,2253011,3379335,1361276,847033,34177
2021-03-06,Georgia,2308087,3437635,1390243,872270,34002
2021-03-07,Georgia,2366573,3437635,1420643,899669,42017
2021-01-12,Hawaii,33483,141750,,,
2021-01-13,Hawaii,36605,154150,,,3122
2021-01-14,Hawaii,47985,154150,,,7251
2021-01-15,Hawaii,46958,154150,39690,7268,4492
2021-01-16,Hawaii,,,,,4431
2021-01-17,Hawaii,,,,,4395
2021-01-18,Hawaii,,,,,4370
2021-01-19,Hawaii,63954,154150,52635,11319,4353
2021-01-20,Hawaii,71944,154150,58111,13833,5048
2021-01-21,Hawaii,79414,189675,63282,16132,4490
2021-01-22,Hawaii,84793,191375,67991,16802,5405
2021-01-23,Hawaii,84792,191575,67990,16802,4798
2021-01-24,Hawaii,84792,191575,67990,16802,4191
2021-01-25,Hawaii,92092,191575,74296,17795,4627
2021-01-26,Hawaii,93760,210425,75820,17939,4258
2021-01-27,Hawaii,97692,217425,79147,18544,3678
2021-01-28,Hawaii,103944,226700,84139,19804,3504
2021-01-29,Hawaii,111165,226800,89428,21736,3767
2021-01-30,Hawaii,120502,227400,96743,23758,5101
2021-01-31,Hawaii,129267,227400,103398,25868,6354
2021-02-01,Hawaii,135836,227400,108745,27090,6249
2021-02-02,Hawaii,137914,246550,110757,27156,6308
2021-02-03,Hawaii,143686,253150,115440,28245,6571
2021-02-04,Hawaii,151107,262900,120533,30573,6738
2021-02-05,Hawaii,169713,262900,126683,33726,8364
2021-02-06,Hawaii,179059,263000,132701,37054,8365
2021-02-07,Hawaii,187048,263000,137230,40514,8254
2021-02-08,Hawaii,194035,263000,142259,42472,8314
2021-02-09,Hawaii,194035,285950,142259,42472,8017
2021-02-10,Hawaii,194035,296250,142259,42472,7193
2021-02-11,Hawaii,200618,308300,150648,49969,7073
2021-02-12,Hawaii,208807,310200,154828,53976,5585
2021-02-13,Hawaii,217780,310400,159583,58194,5532
2021-02-14,Hawaii,225188,310600,162945,62239,5449
2021-02-15,Hawaii,,,,,5306
2021-02-16,Hawaii,237172,311200,168479,68688,6162
2021-02-17,Hawaii,240715,320950,170911,69799,6669
2021-02-18,Hawaii,247392,320950,174151,73236,6682
2021-02-19,Hawaii,301369,397750,210213,90892,13223
2021-02-20,Hawaii,312730,397750,215488,96971,13564
2021-02-21,Hawaii,322966,397750,219881,102818,13968
2021-02-22,Hawaii,331321,397750,223785,107267,14306
2021-02-23,Hawaii,333599,449460,224806,108525,13775
2021-02-24,Hawaii,339771,459350,227011,112487,14151
2021-02-25,Hawaii,348897,477450,231599,117019,14501
2021-02-26,Hawaii,359108,494020,236307,122521,8248
2021-02-27,Hawaii,370746,497760,241336,129131,8288
2021-02-28,Hawaii,382798,497760,246296,136218,8547
2021-03-01,Hawaii,389644,497760,248885,140469,8332
2021-03-02,Hawaii,392771,536520,249631,142855,8453
2021-03-03,Hawaii,399195,557040,251867,147043,8489
2021-03-04,Hawaii,411264,571340,257320,153655,8910
2021-03-05,Hawaii,421996,591220,262927,158777,8984
2021-03-06,Hawaii,434343,598100,269414,164636,9085
2021-03-07,Hawaii,436036,598100,270037,165707,7605
2021-01-12,Idaho,35845,146750,31504,4308,
2021-01-13,Idaho,38872,158125,33176,5653,3027
2021-01-14,Idaho,42586,160075,35179,,3370
2021-01-15,Idaho,46636,160075,37646,8843,3597
2021-01-16,Idaho,,,,,3781
2021-01-17,Idaho,,,,,3892
2021-01-18,Idaho,,,,,3966
2021-01-19,Idaho,63975,160075,53609,10165,4019
2021-01-20,Idaho,69267,166850,58328,10738,4342
2021-01-21,Idaho,73372,178175,61118,11760,4398
2021-01-22,Idaho,77988,181100,64295,13075,4479
2021-01-23,Idaho,82640,181100,68292,13711,4524
2021-01-24,Idaho,87128,181100,72424,14059,4546
2021-01-25,Idaho,91271,181100,76199,14419,4519
2021-01-26,Idaho,93766,184025,78484,14627,4256
2021-01-27,Idaho,96991,203225,80857,15443,3961
2021-01-28,Idaho,102800,210750,85373,16724,4204
2021-01-29,Idaho,108873,221550,88975,18970,4412
2021-01-30,Idaho,114729,221550,93632,20148,4584
2021-01-31,Idaho,120880,221550,98287,21636,4822
2021-02-01,Idaho,124377,221550,100946,22468,4729
2021-02-02,Idaho,126648,216975,102959,22725,4697
2021-02-03,Idaho,132384,245925,107234,24171,5056
2021-02-04,Idaho,141897,262275,113110,26345,5585
2021-02-05,Idaho,159394,262275,120147,28970,7217
2021-02-06,Idaho,176220,266475,133810,32011,8784
2021-02-07,Idaho,185681,266475,140916,34322,9257
2021-02-08,Idaho,195591,266475,149231,35910,10173
2021-02-09,Idaho,198826,282075,151372,37002,10311
2021-02-10,Idaho,205379,310025,155238,39608,10428
2021-02-11,Idaho,214063,319825,159796,43231,10309
2021-02-12,Idaho,214063,320800,159796,43231,7810
2021-02-13,Idaho,221585,328600,163950,46516,6481
2021-02-14,Idaho,242295,329575,174495,56629,8088
2021-02-15,Idaho,,,,,8196
2021-02-16,Idaho,263625,333575,187653,64687,9257
2021-02-17,Idaho,270169,334550,191063,67805,9256
2021-02-18,Idaho,278474,336650,195596,71408,9202
2021-02-19,Idaho,304647,357200,211625,81497,12941
2021-02-20,Idaho,313466,358200,216285,85566,13126
2021-02-21,Idaho,326336,358200,222381,92265,12006
2021-02-22,Idaho,336243,358200,227171,97370,11898
2021-02-23,Idaho,340444,388815,229220,99518,10974
2021-02-24,Idaho,346534,422185,231667,103129,10909
2021-02-25,Idaho,356987,432185,235862,109348,11216
2021-02-26,Idaho,367113,459355,240499,114807,8924
2021-02-27,Idaho,378401,485195,246738,119776,9276
